,0,City,Latitude,Longitude,ID,Temperature,Humidity,Cloudiness,Wind Speed (mph)
272,angouleme,angouleme,45.65,0.15,3037598,53.55,54,0,8.05
273,pitogo,pitogo,13.7847,122.0881,1693303,84.51,69,90,8.99
274,mikhaylovskoye,mikhaylovskoye,51.8239,79.7172,1498775,31.62,63,0,11.39
275,porbandar,porbandar,21.6422,69.6093,1259395,79.48,78,100,8.39
276,nizhneyansk,nizhneyansk,,,,,,,
277,khatanga,khatanga,71.9667,102.5,2022572,24.87,93,99,14.25
278,havoysund,havoysund,70.9963,24.6622,779622,32,80,40,5.75
279,rio casca,rio casca,-20.2261,-42.6508,3451236,66.51,79,13,4.12
280,farsund,farsund,58.0948,6.8047,3157799,40.48,77,10,21.74
281,tawzar,tawzar,,,,,,,
282,bagdarin,bagdarin,54.4333,113.6,2027244,28.87,27,3,5.01
283,sorvag,sorvag,,,,,,,
284,bethel,bethel,41.3712,-73.414,5282297,39.04,54,55,4
285,yairipok,yairipok,24.6667,94.0667,1252810,72.48,63,6,1.86
286,zanjan,zanjan,36.6736,48.4787,111453,59.81,51,99,5.88
287,dunmore town,dunmore town,25.5,-76.65,3572462,78.67,73,34,5.01
288,mergui,mergui,,,,,,,
289,sarangani,sarangani,5.4033,125.4636,1687186,83.26,75,68,13.6
290,taoudenni,taoudenni,22.6783,-3.9836,2450173,87.91,9,0,6.44
291,san quintin,san quintin,30.4833,-115.95,3984997,59.92,70,3,19.64
292,luganville,luganville,-15.5333,167.1667,2136150,86.41,66,30,8.95
293,alice springs,alice springs,-23.7,133.8833,2077895,66.2,42,0,10.36
294,esperance,esperance,-33.8667,121.9,2071860,55.4,100,100,12.66
295,cabedelo,cabedelo,-6.9811,-34.8339,3404558,78.8,94,0,5.75
296,skjervoy,skjervoy,70.0311,20.9714,777682,36.32,59,100,18.34
297,fairbanks,fairbanks,64.8378,-147.7164,5861897,52.65,28,1,12.66
298,pasighat,pasighat,28.0667,95.3333,1260206,75.13,75,1,0.65
299,waipawa,waipawa,-41.4122,175.5153,2206874,62.71,68,75,17.27
300,srednekolymsk,srednekolymsk,67.45,153.6833,2121025,17.37,79,93,5.77
301,hit,hit,33.6416,42.8251,95788,73.81,19,5,11.27
302,essau,essau,13.4839,-16.5347,2413533,69.8,88,0,5.75
303,banjar,banjar,-8.19,114.9675,1650232,80.6,69,20,2.3
304,bogatoye,bogatoye,53.0601,51.3325,575756,37.69,95,100,5.95
305,amapa,amapa,1,-52,3407762,71.91,99,100,0.6
306,kavaratti,kavaratti,10.5669,72.642,1267390,83.55,67,8,5.88
307,mala,mala,-12.6581,-76.6308,3935572,67.35,89,17,5.03
308,baraya,baraya,3.1533,-75.0531,3689232,73.76,74,5,6.82
309,santa isabel do rio negro,santa isabel do rio negro,-0.4139,-65.0192,3662489,74.73,97,100,1.01
310,gorkovskoye,gorkovskoye,,,,,,,
311,ornskoldsvik,ornskoldsvik,63.2909,18.7153,2686469,33.8,64,91,10.36
312,amazar,amazar,53.858,120.875,2027806,34.09,27,95,6.78
313,grand centre,grand centre,,,,,,,
314,pangai,pangai,-19.8,-174.35,4032369,86,70,20,6.91
315,thai binh,thai binh,20.45,106.3333,1566346,80.6,89,75,5.75
316,puerto leguizamo,puerto leguizamo,-0.1934,-74.7819,3671437,73.51,94,16,2.46
317,marsh harbour,marsh harbour,26.5412,-77.0636,3571913,75.69,69,8,11.59
318,mokhsogollokh,mokhsogollokh,61.4681,128.9203,2019867,27.95,71,98,9.57
319,sefophe,sefophe,-22.1833,27.9667,933112,58.87,55,99,3.38
320,luderitz,luderitz,-26.6481,15.1594,3355672,64.87,71,16,8.28
321,bongandanga,bongandanga,1.5,21.05,218229,69.22,96,78,2.42
322,vestmannaeyjar,vestmannaeyjar,63.4427,-20.2734,3412093,44.42,84,100,25.7
323,cueramaro,cueramaro,20.6167,-101.7167,4012341,84.2,11,75,11.5
324,westport,westport,41.1415,-73.3579,4845585,41.32,53,64,15.77
325,hasaki,hasaki,35.7333,140.8333,2112802,57.07,58,20,11.5
326,tarudant,tarudant,,,,,,,
327,makat,makat,47.6469,53.3463,608872,57.31,29,100,18.1
328,berlevag,berlevag,70.8578,29.0864,780687,32.95,69,87,6.82
329,pangoa,pangoa,-12.1167,-73,3933104,69.17,99,17,1.39
330,marystown,marystown,47.1666,-55.1483,6067472,40.78,95,100,14.7
331,asfi,asfi,32.2994,-9.2372,2537881,61.75,83,100,6.11
332,morros,morros,-9.4467,-46.3003,3394372,73.29,83,96,1.88
333,ponta do sol,ponta do sol,32.6667,-17.1,2264557,60.06,89,100,3
334,shebunino,shebunino,46.4339,141.8603,2121324,44.44,81,26,6.24
335,dali,dali,25.7,100.1833,1814093,66.2,49,6,5.19
336,mount gambier,mount gambier,-37.8333,140.7667,2156643,55.4,82,90,4.61
337,axim,axim,4.8699,-2.2405,2303611,81.66,84,100,7.96
338,mindelo,mindelo,16.8901,-24.9804,3374462,69.8,68,40,20.71
339,palu,palu,-0.8917,119.8707,1633034,86.07,67,78,0.81
340,mahibadhoo,mahibadhoo,3.7833,72.9667,1337605,82.65,73,63,10.47
341,thinadhoo,thinadhoo,0.5333,72.9333,1337610,82.99,61,26,9.33
342,tarko-sale,tarko-sale,64.9225,77.785,1490085,28.99,71,91,5.99
343,sabang,sabang,5.8933,95.3214,1214026,82.9,73,88,15.88
344,atar,atar,20.5169,-13.0499,2381334,77.31,13,0,7.45
345,douentza,douentza,14.9951,-2.9517,2458334,87.17,16,35,4.61
346,makokou,makokou,0.5738,12.8642,2399371,70.56,97,100,3.06
347,kanke,kanke,23.4333,85.3167,1268032,75.2,64,40,2.82
348,celestun,celestun,20.8667,-90.4,3531368,80.47,79,19,19.1
349,acarau,acarau,-2.8856,-40.12,3408368,78.17,82,11,5.93
350,dickinson,dickinson,29.4608,-95.0513,4686163,66.4,77,90,20.71
351,terrace,terrace,54.5163,-128.6035,6162949,59,21,20,4.61
352,sulecin,sulecin,52.4443,15.1168,3084237,39.69,81,31,7
353,brae,brae,60.3964,-1.353,2654970,42.8,70,100,6.91
354,atherton,atherton,53.5237,-2.4935,2656847,43.23,47,9,2.86
355,grindavik,grindavik,63.8424,-22.4338,3416888,44.6,81,90,29.93
356,inyonga,inyonga,-6.7167,32.0667,159134,61.83,93,2,5.19
357,plettenberg bay,plettenberg bay,-34.0527,23.3716,964712,65.52,77,4,4.74
358,matinhos,matinhos,-25.8175,-48.5428,3457455,55.33,100,75,2.3
359,sibolga,sibolga,1.7427,98.7792,1213855,77.61,85,100,1.97
